,0,1,2
109,fresh palm leaf ,Adam Melchor,Real Estate
110,fresh palm leaf ,Caroline Polachek,So Hot You're Hurting My Feelings
111,fresh palm leaf ,Alba Reche,medusa
112,fresh palm leaf ,Taylor Swift,The Lucky One
113,fresh palm leaf ,Charli XCX,Click (feat. Kim Petras and Slayyyter) [No Boys Remix]
114,fresh palm leaf ,ROLE MODEL,hello!
115,fresh palm leaf ,Angel Taylor,Maple Tree
116,fresh palm leaf ,Ben Platt,River
117,fresh palm leaf ,Doja Cat,Bottom Bitch
118,fresh palm leaf ,Carly Rae Jepsen,"The Sound - Live In Lapland, Finland"
119,fresh palm leaf ,Selena Gomez,Lose You To Love Me
120,fresh palm leaf ,Zedd,Good Thing (with Kehlani)
121,fresh palm leaf ,Kesha,Raising Hell (feat. Big Freedia)
122,fresh palm leaf ,Selena Gomez,Look At Her Now
123,fresh palm leaf ,Post Malone,Circles
124,fresh palm leaf ,Christina Aguilera,Haunted Heart
125,fresh palm leaf ,King Princess,Hit the Back
126,fresh palm leaf ,RAYE,Love Me Again
127,fresh palm leaf ,Savannah Outen,Sad in the Summer
128,fresh palm leaf ,Tove Lo,Anywhere u go
129,fresh palm leaf ,Slayyyter,Mine
130,fresh palm leaf ,Ariana Grande,Bad To You (with Normani & Nicki Minaj)
131,fresh palm leaf ,Roger,I Want to Be Your Man
132,fresh palm leaf ,KAROL G,Tusa
133,fresh palm leaf ,Ciara,"Melanin (feat. Lupita Nyong'o, Ester Dean, City Girls, & LA LA)"
134,HoLa GuApA ,Luz Pinos,Ya No Te Quiero
135,HoLa GuApA ,Silvana Estrada,Amor Eterno
136,HoLa GuApA ,Carlos Sadness,Te Quiero un Poco
137,HoLa GuApA ,Carlos Sadness,Semitransparente
138,HoLa GuApA ,La Isla Centeno,¿A Dónde Vas?
139,HoLa GuApA ,Alex Cuba,Dividido
140,HoLa GuApA ,César Avila,Nada Contigo
141,doing my homework 4 connor ,Jo Dee Messina,Burn
142,doing my homework 4 connor ,Mitchell Tenpenny,Drunk Me
143,doing my homework 4 connor ,Shania Twain,Don't! - Greatest Hits Version
144,doing my homework 4 connor ,Faith Hill,Cry
145,doing my homework 4 connor ,Cassadee Pope,Wasting All These Tears
146,doing my homework 4 connor ,Dan + Shay,Tequila
147,doing my homework 4 connor ,Hoku,What You Need
148,doing my homework 4 connor ,Diana DeGarmo,Emotional - Top 40 Remix
149,doing my homework 4 connor ,Kimberley Locke,8th World Wonder
150,doing my homework 4 connor ,Hey Monday,Candles
151,doing my homework 4 connor ,Artists Stand Up To Cancer,JUST STAND UP!
152,doing my homework 4 connor ,Wild Orchid,At Night I Pray
153,doing my homework 4 connor ,Neck Deep,Torn
154,ZzZzZzZz,Øyen,"Hush, Little Baby"
155,ZzZzZzZz,Jean Cras,2 Impromptus: No. 1. Lent
156,ZzZzZzZz,Domenico Cattaneo,"Senza tentazioni, senza onore"
157,dusk + dawn,Kacey Musgraves,Rainbow
158,dusk + dawn,Ambar Lucid,A letter to my younger self
159,dusk + dawn,The Japanese House,Saw You In A Dream
160,dusk + dawn,Gustavo Santaolalla,Te Amo y Más
161,dusk + dawn,Bibio,lovers’ carvings
162,dusk + dawn,Claude Debussy,"Debussy: Rêverie, CD 76, L. 68"
163,dusk + dawn,The Marías,Over the Moon
164,dusk + dawn,H.E.R.,Best Part (feat. Daniel Caesar)
165,dusk + dawn,Frank Ocean,Moon River
166,dusk + dawn,Kate Bush,This Woman's Work
167,dusk + dawn,Sufjan Stevens,Mystery of Love (From the Original Motion Picture “Call Me by Your Name”)
168,dusk + dawn,Sufjan Stevens,To Be Alone With You
169,dusk + dawn,Judy Garland,Over the Rainbow
170,dusk + dawn,Ellie Goulding,Vincent
171,dusk + dawn,The 1975,Be My Mistake
172,dusk + dawn,Adele,Daydreamer
